,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Population,Yearly_Change,Net_Change,Density,Land_Area,Migrants,Fert._Rate,Med._Age,Urban_Pop_%,World_Share,Time,Time_Code,Country_code,Adolescent_fertility_rate,Agriculture_forestry_and_fishing_value_added,Annual_freshwater_withdrawals_total,Births_attended_by_skilled_health_staff,CO2_emissions,Contraceptive_prevalence_any_methods,Domestic_credit_provided_by_financial_sector,Electric_power_consumption,Energy_use,Exports_of_goods_and_services,External_debt_stocks_total,Fertility_rate_total,Foreign_direct_investment_net_inflows,Forest_area,GDP,GDP_growth,GNI_per_capita_Atlas_method,GNI_per_capita_PPP,GNI_Atlas_method,GNI_PPP,Gross_capital_formation,High-technology_exports,Immunization_measles,Imports_of_goods_and_services,Income_share_held_by_lowest_20%,Industry,Inflation_GDP_deflator,Life_expectancy_at_birth_total,Merchandise_trade,Military_expenditure,Mobile_cellular_subscriptions,Mortality_rate_under-5,Net_barter_terms_of_trade_index,Net_migration,Net_official_development_assistance_and_official_aid_received,Personal_remittances_received,Population_density,Population_growth,Population_total,Poverty_headcount_ratio_at_$1.90_a_day,Poverty_headcount_ratio_at_national_poverty_lines,Prevalence_of_HIV_total,Prevalence_of_underweight_weight_for_age,Primary_completion_rate_total,Revenue_excluding_grants,School_enrollment_primary,School_enrollment_primary_and_secondary,School_enrollment_secondary,Statistical_Capacity_score,Surface_area,Tax_revenue,Terrestrial_and_marine_protected_areas,Time_required_to_start_a_business,Total_debt_service,Urban_population_growth,Access_to_electricity,Adjusted_net_national_income,Cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions,Cause_of_death_by_injury,Cause_of_death_by_non-communicable_diseases,Central_government_debt_total,Cereal_yield,Child_employment_in_agriculture,Children_out_of_school_primary,Children_out_of_school_primary_female,Children_out_of_school_primary_male,Children_with_fever_receiving_antimalarial_drugs,Completeness_of_birth_registration,Condom_use_population_ages_15-24_male,Container_port_traffic,Coverage_of_social_insurance_programs,infection_rate,death_rate
0,Afghanistan,132,41633,5,1541,39074280,2.33 %,886592,60,652860,-62920.0,4.6,18,25 %,0.50 %,2015,YR2015,AFG,81.693,20.6343227166798,..,50.5,0.262555710891417,22.5,..,..,..,7.11956906405987,2596917266.2,4.976,169146608,13500,19907111418.9938,1.45131465458005,600,2110,20583397305.7182,72481076025.8795,19.454687306501,..,63,42.5058388897863,..,22.1240424906926,2.44756300761806,63.377,41.6635031845278,0.994575822723645,57.27106807,70.4,154.2115483,..,4274229980.46875,348624717.302647,52.7120715007812,3.07708359546317,34413603,..,..,0.1,..,..,10.1311181683697,103.534523010254,0.6423299908638,51.6699485778809,51.1111,652860,7.58538233129798,..,8.5,3.31844318968037,3.95176219129098,71.5,17365217261.3992,40.6,14.6,44.8,..,2133,..,..,..,..,11.8,42.3,..,..,..,1065.4834842766138,39.437706849620774
1,Albania,321,21523,9,527,2877239,-0.11 %,-3120,105,27400,-14000.0,1.6,36,63 %,0.04 %,2015,YR2015,ALB,20.0772,19.7802245227192,..,..,1.60264803417777,..,68.1382939282078,..,..,27.2674002764765,8447035238.4,1.677,989578334.828609,7715,11386846319.1589,2.21875223166761,4390,11800,12634903056.2053,33990559188.9825,25.8190578398821,1.63327412328146,97,44.5336293946429,7.7,21.7636624840832,0.563958924921181,78.025,54.615648843317,1.16230386432234,117.6592183,9.6,92.55933096,..,335160003.662109,1290863508.09401,105.135145985401,-0.291205786840436,2880703,1.1,..,0.1,..,98.8615875244141,24.7381584795417,105.542976379395,0.982420027256012,97.3884811401367,72.2222333333333,28750,18.5157960517393,..,5,33.5242072205048,1.48476433256912,100,9318202229.95555,2.9,4,93.1,79.8644448747259,4873.8,..,3929,..,..,..,..,..,..,..,7480.4352366974035,183.1617046759063
2,Algeria,0,57942,0,1964,43984569,1.85 %,797990,18,2381740,-10000.0,3.1,29,73 %,0.56 %,2015,YR2015,DZA,10.665,11.5786198519689,..,..,3.85455657561633,..,..,..,..,23.1716000406876,4671321212.4,3.043,-537792920.921856,19560,165979418301.861,3.70000000057085,4850,11700,192676844901.913,464696482682.72,50.7811424844579,0.157413455061216,95,36.5237214812687,..,35.7261244442849,-6.4550399481427,76.09,52.0365722953203,6.27024293127081,108.8089403,25.2,188.3084621,..,71129997.253418,1997393458.35396,16.680252672416,2.04538724285729,39728025,..,..,0.1,..,105.546722412109,..,115.877838134766,..,..,53.3333666666667,2381740,..,..,18,1.72343183018664,2.93432016018453,99.9313659667969,130433643597.502,15.3,9.6,75,..,1400.2,..,23175,..,..,..,..,..,1243300,..,1317.3256284493773,44.65202330390005
3,American Samoa,0,0,0,0,55169,-0.22 %,-121,276,200,,N.A.,N.A.,88 %,0.00 %,2015,YR2015,ASM,..,..,..,..,..,..,..,..,..,64.5990922844176,..,..,..,175.400009155273,661000000,1.40405616224648,..,..,..,..,..,..,..,99.5461422087746,..,..,1.5339084591421,..,159.45537065053,..,..,..,160.5206718,..,..,..,279.06,0.0376333973958491,55812,..,..,..,..,..,..,..,..,..,..,200,..,..,..,..,-0.0205364111289766,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0
4,Andorra,63,4888,0,75,77287,0.16 %,123,164,470,,N.A.,N.A.,88 %,0.00 %,2015,YR2015,AND,..,..,..,..,5.96978631218674,..,..,..,..,..,..,..,..,160,2789870187.50693,1.43414039522716,..,..,..,..,..,22.6462637109844,96,..,..,..,0.660588959137868,..,49.6080429188987,..,91.44351438,3.5,..,..,..,..,165.98085106383,-1.52905843773571,78011,..,..,..,..,..,..,..,..,..,..,470,..,..,..,..,-1.63772944347528,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63244.78890369661,970.4089950444447
5,Angola,193,11228,3,289,33032075,3.27 %,1040977,26,1246700,6413.0,5.6,17,67 %,0.42 %,2015,YR2015,AGO,157.2756,9.12253447070414,..,..,1.24024546214599,..,27.0509238028826,..,..,29.7545994933756,56269410212,5.774,10028215162.6394,578560,116193649124.151,0.943575613388759,4520,6960,125915235218.298,194201091488.512,34.2024891287855,13.7608818347391,51,33.1339212916755,..,41.9330926455315,-3.51839026050176,59.398,46.3657010568937,3.1054262930828,49.79322295,88.2,137.5875301,..,380059997.558594,11114711.6,22.3665524985963,3.43885068439195,27884381,..,..,1.8,19,..,18.77664517494,113.477958679199,..,..,47.7777666666667,1246700,11.0020191367023,..,36,22.6918954750801,4.57219158120625,42,57952134601.3238,63.4,9.4,27.2,..,982,..,..,..,..,..,..,..,833286,..,339.91204003987036,8.749071924788256
6,Antigua and Barbuda,0,128,0,3,98069,0.84 %,811,223,440,0.0,2.0,34,26 %,0.00 %,2015,YR2015,ATG,44.4692,1.61232672128831,..,..,5.83954641643332,..,..,..,..,45.0510131418897,..,2.003,114024660.121814,98.0000019073486,1336692592.59259,3.82529309880827,12970,17880,1213337923.27465,1673163663.24582,..,..,91,50.1547074454084,..,16.4579794794781,3.01750370241561,76.483,38.5279310182402,..,188.1025159,7.8,64.20082824,..,1490000.00953674,31244412.2632378,212.65,1.07883793719549,93566,..,..,..,..,92.5554809570313,..,104.990623474121,0.990040004253387,108.23023223877,57.7778,440,..,..,22,..,0.385488976961868,100,..,12.6,6.2,81.1,..,1588.8,..,117,25,92,..,..,..,26500,..,1305.2034791830242,30.590706543352127
7,Argentina,6609,1173533,138,31140,45267449,0.93 %,415097,17,2736690,4800.0,2.3,32,93 %,0.58 %,2015,YR2015,ARG,63.096,5.1566859021408,..,99.6,4.6640107478523,..,40.4276279370297,..,..,10.7056520504538,177184603465.6,2.301,11758994011.286,271120,594749285413.212,2.73115982828946,12570,19700,542376272989.615,849527597209.511,17.0707048841583,9.26893795047756,89,11.7805740385254,..,23.153056135905,26.5799916024707,76.068,19.6703052646326,0.850128583186764,143.566834,11.5,146.0703277,..,-18870000.8392334,494433532.139966,15.7606327351655,1.07800134449604,43131966,..,..,0.4,..,102.973739624023,22.1490803040164,111.303413391113,1.02838003635406,106.946472167969,95.5555666666667,2780400,12.3365069418291,..,24.5,24.733642858859,1.21579706300955,99.8271179199219,509882378044.8,15.5,6.4,78.1,..,4779.1,..,2420,..,..,..,..,..,1700265,..,25924.43413367517,687.9115277735222
8,Armenia,1328,94776,22,1413,2964219,0.19 %,5512,104,28470,-4998.0,1.8,35,63 %,0.04 %,2015,YR2015,ARM,22.8308,17.2231200318056,..,..,1.64200409290141,..,48.2599761094213,..,..,29.7279964768255,8831021220.8,1.738,184127986.314895,3320,10553337672.9872,3.20000000000005,4010,10370,11738591730.4458,30350856297.5626,20.7305301265762,5.65186035203378,97,41.8652688700677,8.2,25.7086994351611,1.21390990369694,74.467,44.7630896156366,4.2392258025425,118.4217138,14.4,118.8763696,..,347480010.986328,1491475903.47047,102.759149982438,0.450500902714805,2925553,1.3,29.8,0.2,..,94.5906372070313,23.0924926716717,95.0036468505859,1.03798997402191,86.0058898925781,93.3333333333333,29740,20.931220827141,..,5,38.4270953775126,0.407692803480127,100,9291459494.93461,3.1,4,92.9,..,3132.1,..,10601,4509,6092,..,..,..,..,53.4184288139101,31973.346098921847,476.6854270888892
9,Aruba,47,4519,1,38,106845,0.43 %,452,593,180,201.0,1.9,41,44 %,0.00 %,2015,YR2015,ABW,25.0092,..,..,..,8.61037367861148,..,..,..,..,73.5170302334481,..,1.854,-28775856.424581,4.19999986886978,2919553072.6257,5.70000087589398,26250,35190,2738452724.13947,3672197163.04349,21.5652506697283,4.97381130268067,..,74.1484883275928,..,..,-0.117543329334765,75.725,54.3819194412553,..,135.13384,..,93.73807085,..,..,8083713.40782122,579.672222222222,0.544892394001668,104341,..,..,..,..,..,..,..,..,..,..,180,..,..,..,..,0.700551702707342,100,2495606826.61566,..,..,..,..,..,..,..,..,..,..,..,..,30000,..,42294.913192007116,355.6553886471056
10,Australia,7,27602,0,907,25550683,1.18 %,296686,3,7682300,158246.0,1.8,38,86 %,0.33 %,2015,YR2015,AUS,11.9498,2.37264411384703,..,99.7,15.3397835782213,..,..,..,5483.81640154023,19.984845509759,..,1.814,46892808567.8516,1247510,1351693984524.5,2.1926400283338,60500,45330,1440831884837.11,1079583930033.6,26.2706966202778,16.3399424261393,95,21.5095275701541,..,23.644205561858,-0.549652211548107,82.4,29.3102584265306,1.9506009865907,107.6778349,3.9,148.1965091,..,..,2174651380.40477,3.10011259648803,1.43921665259925,23815995,..,..,0.1,..,..,24.5021392945099,101.599906921387,0.925260007381439,157.167663574219,..,7741220,21.865491896164,..,2.5,..,1.55480059894141,100,1051203169655.57,4.4,6,89.6,0.0469480198522591,2027.4,..,1861,..,..,..,..,..,7633532,..,1080.2842334977895,35.49807259555449
